Nome da tinta,Cor,Tipo de superfície indicada,Ambiente,Tipo de acabamento,Features relevantes,Linha
Suvinil Toque de Seda,Branco Gelo,Parede de alvenaria,Interno,Acetinado,Lavável; Sem odor; Toque aveludado,Premium
Suvinil Fosco Completo,Branco Neve,Parede de alvenaria,Interno,Fosco,Alta cobertura; Antimofo,Standard
Suvinil Fachada Acrílica,Bege Areia,Parede externa,Externo,Fosco,Resistente à chuva e sol; Lavável,Premium
Suvinil Esmalte Sintético,Marrom Cedro,Madeira ou Metal,Externo,Brilhante,Resistente ao calor; Alta durabilidade,Standard
Suvinil Proteção Total,Verde Claro,Parede externa,Externo,Semibrilho,Antimofo; Antialgas; Lavável,Premium
Suvinil Crie Efeito Cimento Queimado,Cinza Urbano,Parede de alvenaria,Interno,Fosco,Textura especial; Moderna,Premium
Suvinil Estilo Cinza Chumbo,Azul Sereno,Parede de alvenaria,Externo,Brilhante,Alta cobertura; Rápida secagem,Econômica
Suvinil Ultra Terracota,Verde Folha,Concreto aparente,Externo,Semibrilho,Antimofo; Lavável,Standard
Suvinil Ultra Rosa Quartzo,Azul Sereno,Parede de alvenaria,Interno,Fosco,Secagem rápida; Sem respingos,Econômica
Suvinil Prime Azul Sereno,Rosa Quartzo,Metal,Interno,Semibrilho,Resistente à umidade; Antimofo,Standard
Suvinil Prime Rosa Quartzo,Azul Sereno,Madeira,Interno,Semibrilho,Lavável; Sem odor,Premium
Suvinil Ambiente Branco Neve,Verde Folha,Concreto aparente,Externo,Acetinado,Antimofo; Lavável,Econômica
Suvinil Clássica Branco Neve,Preto Intenso,Metal,Interno,Fosco,Textura especial; Decorativa,Premium
Suvinil Prime Rosa Quartzo,Amarelo Sol,Concreto aparente,Externo,Semibrilho,Textura especial; Decorativa,Econômica
Suvinil Clássica Branco Neve,Amarelo Sol,Metal,Interno,Brilhante,Resistente à umidade; Antimofo,Standard
Suvinil Ultra Branco Neve,Cinza Chumbo,Concreto aparente,Externo,Acetinado,Textura especial; Decorativa,Premium
Suvinil Max Verde Folha,Branco Neve,Madeira,Externo,Semibrilho,Resistente à umidade; Antimofo,Premium
Suvinil Prime Preto Intenso,Branco Neve,Metal,Externo,Brilhante,Alta cobertura; Rápida secagem,Standard
Suvinil Ultra Verde Folha,Branco Neve,Concreto aparente,Externo,Brilhante,Resistente à umidade; Antimofo,Econômica
Suvinil Clássica Cinza Chumbo,Branco Neve,Drywall,Interno,Semibrilho,Antimofo; Lavável,Econômica
Suvinil Clássica Terracota,Branco Neve,Metal,Interno,Brilhante,Resistente à umidade; Antimofo,Standard
Suvinil Clássica Preto Intenso,Preto Intenso,Parede de alvenaria,Interno,Fosco,Alta cobertura; Rápida secagem,Econômica
Suvinil Ambiente Cinza Chumbo,Preto Intenso,Metal,Interno,Semibrilho,Antimofo; Lavável,Standard
Suvinil Estilo Verde Folha,Rosa Quartzo,Metal,Interno,Acetinado,Secagem rápida; Sem respingos,Econômica
Suvinil Estilo Rosa Quartzo,Branco Neve,Concreto aparente,Interno,Brilhante,Toque aveludado; Moderna,Premium
Suvinil Clássica Preto Intenso,Verde Folha,Drywall,Interno,Fosco,Antialgas; Resistente ao sol,Standard
